book_author,book_image_link,book_name,book_price
Carmelo Anthony,https://m.media-amazon.com/images/I/71N1S8QxyLS._AC_UY218_.jpg,Where Tomorrows Aren't Promised: A Memoir of Survival and Hope,17.
James Patterson,https://m.media-amazon.com/images/I/81NhkPrxzzS._AC_UY218_.jpg,The Jailhouse Lawyer,14.
Will Witt,https://m.media-amazon.com/images/I/61sTFbhkdgS._AC_UY218_.jpg,How to Win Friends and Influence Enemies: Taking On Liberal Arguments with Logic and Humor,24.
Richard Osman,https://m.media-amazon.com/images/I/710tdZFjrIS._AC_UY218_.jpg,The Man Who Died Twice: A Thursday Murder Club Mystery,13.
Evan Osnos,https://m.media-amazon.com/images/I/81vLkFIBK1L._AC_UY218_.jpg,Wildland: The Making of America's Fury,18.
Steven Pinker,https://m.media-amazon.com/images/I/61g8yvseS9L._AC_UY218_.jpg,"Rationality: What It Is, Why It Seems Scarce, Why It Matters",0.
Sharri Markson,https://m.media-amazon.com/images/I/71TuuVs3deL._AC_UY218_.jpg,"What Really Happened In Wuhan: A Virus Like No Other, Countless Infections, Millions of Deaths",25.
Guinness World Records Limited,https://m.media-amazon.com/images/I/914So3NwS6S._AC_UY218_.jpg,Guinness World Records 2022,14.
Lauren Groff,https://m.media-amazon.com/images/I/91rYn+4CdwL._AC_UY218_.jpg,Matrix: A Novel,14.
Lisa Jewell,https://m.media-amazon.com/images/I/91Nzmc10ilL._AC_UY218_.jpg,The Night She Disappeared: A Novel,0.
Max Brallier,https://m.media-amazon.com/images/I/913kYz9cL7S._AC_UY218_.jpg,The Last Kids on Earth and the Doomsday Race,12.
Holly Jackson,https://m.media-amazon.com/images/I/81+RRxlC32S._AC_UY218_.jpg,As Good as Dead: The Finale to A Good Girl's Guide to Murder,15.
TJ Klune,https://m.media-amazon.com/images/I/81qCZUcX70L._AC_UY218_.jpg,Under the Whispering Door,16.
Jennifer Segal,https://m.media-amazon.com/images/I/81eeKzE5EVL._AC_UY218_.jpg,Once Upon a Chef: Weeknight/Weekend: 70 Quick-Fix Weeknight Dinners + 30 Luscious Weekend Recipes: A Cookbook,27.
Naomi Novik,https://m.media-amazon.com/images/I/813aulA04FL._AC_UY218_.jpg,The Last Graduate: A Novel (The Scholomance Book 2),13.
Mary Roach,https://m.media-amazon.com/images/I/71xlmcDufQS._AC_UY218_.jpg,Fuzz: When Nature Breaks the Law,21.
Disney Books,https://m.media-amazon.com/images/I/91Gh4rsNs1L._AC_UY218_.jpg,The Disney Princess Cookbook,9.
Mo Willems,https://m.media-amazon.com/images/I/81FAqPxf+yL._AC_UY218_.jpg,An Elephant &amp; Piggie Biggie! Volume 4 (An Elephant and Piggie Book),13.
Cassy Joy Garcia,https://m.media-amazon.com/images/I/71Jz7VeBlYS._AC_UY218_.jpg,Cook Once Dinner Fix: Quick and Exciting Ways to Transform Tonight's Dinner into Tomorrow's Feast,25.
Max Lucado,https://m.media-amazon.com/images/I/91l-0o4mqPL._AC_UY218_.jpg,You Were Made for This Moment: Courage for Today and Hope for Tomorrow,22.
Craig Johnson,https://m.media-amazon.com/images/I/81mHPdWMNUL._AC_UY218_.jpg,"Daughter of the Morning Star: Longmire Mysteries, Book 17",0.
George F. Will,https://m.media-amazon.com/images/I/51AKS6KzGZS._AC_UY218_.jpg,"American Happiness and Discontents: The Unruly Torrent, 2008-2020",25.
Dr. Richard M. Fleming,https://m.media-amazon.com/images/I/71L-QCh6IoL._AC_UY218_.jpg,Is COVID-19 a Bioweapon?: A Scientific and Forensic investigation (Children’s Health Defense),21.
J. D. Robb,https://m.media-amazon.com/images/I/91mJWrUYS1L._AC_UY218_.jpg,Forgotten in Death: An Eve Dallas Novel,14.
Rick Bragg,https://m.media-amazon.com/images/I/81hbHrj9iaL._AC_UY218_.jpg,The Speckled Beauty: A Dog and His People,.
Alice Feeney,https://m.media-amazon.com/images/I/91CktmxU6dL._AC_UY218_.jpg,Rock Paper Scissors: A Novel,14.
Odd Dot,https://m.media-amazon.com/images/I/91AnCmU8KfL._AC_UY218_.jpg,The Antiquarian Sticker Book: Bibliophilia (The Antiquarian Sticker Book Series),15.
John Patrick Green,https://m.media-amazon.com/images/I/91caHlzkRPL._AC_UY218_.jpg,"InvestiGators: Ants in Our P.A.N.T.S. (InvestiGators, 4)",9.
Mary Kay Andrews,https://m.media-amazon.com/images/I/71PAQt4VbuL._AC_UY218_.jpg,The Santa Suit: A Novel,13.
Tyler Gordon,https://m.media-amazon.com/images/I/91oKHe9txFL._AC_UY218_.jpg,We Can: Portraits of Power,13.
Colm Toibin,https://m.media-amazon.com/images/I/81BIMb+uIsS._AC_UY218_.jpg,The Magician: A Novel,23.
Ben Clanton,https://m.media-amazon.com/images/I/91cMsl2BhLL._AC_UY218_.jpg,Narwhal's School of Awesomeness (A Narwhal and Jelly Book #6),.
Jonathan Fields,https://m.media-amazon.com/images/I/91n22UxE1CL._AC_UY218_.jpg,Sparked: Discover Your Unique Imprint for Work that Makes You Come Alive,21.
Michael Clinton,https://m.media-amazon.com/images/I/71TGaITXJfL._AC_UY218_.jpg,Roar: into the second half of your life (before it's too late),17.
Bella Mayo,https://m.media-amazon.com/images/I/71JVP01tvlS._AC_UY218_.jpg,My Greenhouse,13.
ROBERT M. DRAKE,https://m.media-amazon.com/images/I/61r9K7dZWbL._AC_UY218_.jpg,"I WROTE THIS FOR YOU, ME AND ANYONE TRYING TO FUCKING MOVE ON",22.
J. Warner Wallace,https://m.media-amazon.com/images/I/61YfVYUyINL._AC_UY218_.jpg,Person of Interest: Why Jesus Still Matters in a World that Rejects the Bible,17.
Kohei Horikoshi,https://m.media-amazon.com/images/I/815ePWe0QNL._AC_UY218_.jpg,"My Hero Academia, Vol. 29 (29)",7.
Joseph Pfeifer,https://m.media-amazon.com/images/I/818LQY0AESS._AC_UY218_.jpg,Ordinary Heroes: A Memoir of 9/11,16.
Jelani Cobb,https://m.media-amazon.com/images/I/81d8OZwtMEL._AC_UY218_.jpg,The Matter of Black Lives: Writing from The New Yorker,20.
Antoni Porowski,https://m.media-amazon.com/images/I/5174uZ65WIS._AC_UY218_.jpg,Antoni: Let's Do Dinner,18.
Joel C. Rosenberg,https://m.media-amazon.com/images/I/71hSG6L9o8S._AC_UY218_.jpg,Enemies and Allies: An Unforgettable Journey inside the Fast-Moving &amp; Immensely Turbulent Modern Middle East,.
Alice Schertle,https://m.media-amazon.com/images/I/91d9hiPuziL._AC_UY218_.jpg,"What Do You Say, Little Blue Truck? (sound book)",12.
Allen C. Guelzo,https://m.media-amazon.com/images/I/812LSb9tWuS._AC_UY218_.jpg,Robert E. Lee: A Life,.
Kate DiCamillo,https://m.media-amazon.com/images/I/91l9UDsWMeL._AC_UY218_.jpg,The Beatryce Prophecy,14.
Elle Kennedy,https://m.media-amazon.com/images/I/81IK-oHj+lS._AC_UY218_.jpg,The Legacy (Off-Campus Book 5),5.
Liz Braswell,https://m.media-amazon.com/images/I/91zWCkAqHLL._AC_UY218_.jpg,What Once Was Mine: A Twisted Tale,13.
Jason Wilson,https://m.media-amazon.com/images/I/71t6aHGZLkL._AC_UY218_.jpg,Battle Cry: Waging and Winning the War Within,0.
María Amparo Escandón,https://m.media-amazon.com/images/I/91qxDbInzsL._AC_UY218_.jpg,L.A. Weather: A Novel,0.
Xiran Jay Zhao,https://m.media-amazon.com/images/I/71KVT5zbBiL._AC_UY218_.jpg,Iron Widow,14.
